Class,Chinese,Pinyin,English
01,白菜,bái cài ,Chinese cabbage
02,菠菜,bō cài ,spinach
03,菜心,cài xīn ,choy sum
04,儿菜,ér cài ,ér cài 
05,盖菜,gài cài ,leaf mustard
06,芥蓝,jiè lán ,Chinese broccoli
07,蒿子杆,hāo zǐ gān ,Tricolor daisy
08,黄心菜,huáng xīn cài ,huáng xīn cài 
09,茴香,huí xiāng ,fennel
10,鸡毛菜,jī máo cài ,jī máo cài 
11,韭菜,jiǔ cài ,garlic chives
12,空心菜,kōng xīn cài ,water spinach
13,快菜,kuài cài ,kuài cài 
14,苦菊,kǔ jú ,endive
15,芦笋,lú sǔn ,asparagus
16,芹菜,qín cài xīn ,celery
17,蒜黄,suàn huáng ,suàn huáng 
18,蒜苔,suàn tái ,garlic shoots
19,茼蒿菜,tóng hāo cài ,crown daisy
20,豌豆苗,wān dòu miáo ,pea shoots
21,莴苣,wō jù ,lettuce
22,香菜,xiāng cài ,cilantro
23,香芹,xiāng qín ,parsley
24,小白菜,xiǎo bái cài ,bok choy
25,西洋菜,xī yáng cài ,watercress
26,叶生菜,yè shēng cài ,lettuce
27,油菜,yóu cài ,oilseed rape
28,羽衣甘蓝,yǔ yī gān lán ,kale
29,竹笋,zhú sǔn,bamboo shoot
